value_1,value_2,result,time_stamp,file_path,operation
41,12,3.416666667,12/3/2021,./CSV_File/Division1.csv,division
51,64,0.796875,12/3/2021,./CSV_File/Division1.csv,division
19,3,6.333333333,12/3/2021,./CSV_File/Division1.csv,division
25,39,0.641025641,12/3/2021,./CSV_File/Division1.csv,division
69,82,0.841463415,12/3/2021,./CSV_File/Division1.csv,division
48,22,2.181818182,12/3/2021,./CSV_File/Division1.csv,division
96,17,5.647058824,12/3/2021,./CSV_File/Division1.csv,division
69,90,0.766666667,12/3/2021,./CSV_File/Division1.csv,division
78,62,1.258064516,12/3/2021,./CSV_File/Division1.csv,division
48,41,1.170731707,12/3/2021,./CSV_File/Division1.csv,division
